Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,opt_n_stage1,total_mdot_water_kg_s,opt_n_stage2,opt_n_stage3,opt_n_stage4
7.35,0.855595,4220807.508,436.365553,0.724995,0.861853,0.805429,2.088096,1.01325,2.01064,1.984348,298.0,384.390991,639547.6567,378.038986,440603.754,301.560507,1.092475,1.029195,0.836968,3.498075,2.01064,6.875339,3.419478,301.560507,455.576385,1144621.0,444.138891,723625.5929,303.926201,1.01681,1.049479,0.838517,3.765001,6.875339,25.737992,3.743524,303.926201,470.076477,1235726.19,460.893063,797380.4215,303.254918,0.872457,1.028445,0.812951,3.501693,25.737992,89.999998,3.496776,303.254918,464.25022,1200912.661,460.906741,797441.1183,305.914716,0.861853,7.35,1.029195,1.049479,1.028445
7.369122807017543,0.8558468173862227,4228750.798913604,436.2698454520942,0.7268812736842104,0.862967225669957,0.805988157458847,2.0961746499572906,1.01325,2.0182777451587346,1.991885918501512,298.0,384.83053839176824,644491.5353856285,378.44109347707894,442300.3928527463,301.5823102099459,1.0912184592168832,1.0292642662668718,0.8370750081958303,3.5002344697153482,2.0182777451587346,6.906249968143035,3.421817407796552,301.5823102099459,455.67917210003645,1148215.9081901598,444.2264036690675,724008.089887425,303.9402463548879,1.0149409877338305,1.0472585928137188,0.8385805133512768,3.7422082343886567,6.906249968143035,25.694540639172093,3.7208097223971284,303.9402463548879,469.17595235734,1231974.6991938562,460.04826362941026,793640.6001998448,303.249400932634,0.8762305103443015,1.0287850787007249,0.814245566727512,3.50771724214258,25.694540639172093,89.99999820959421,3.502757460904202,303.249400932634,464.2568324402383,1204063.7705073399,460.906741,797441.1183179297,305.9201384549571,0.862967225669957,7.369122807017543,1.0292642662668718,1.0472585928137188,1.0287850787007249
7.388245614035087,0.8560917138825325,4236773.3672200125,436.1765488009352,0.728767547368421,0.8640785769458819,0.8065412070018622,2.104252021735007,1.01325,2.0259125916037144,1.9994209690035385,298.0,385.26870334476854,649443.5392448794,378.84186496913867,443991.61743049545,301.60409222439205,1.0899725903320077,1.0293311797082016,0.8371795288025394,3.5023335774013074,2.0259125916037144,6.937027704661724,3.4240941401247227,301.60409222439205,455.77973776117034,1151794.7131245795,444.3118989840219,724381.7780843591,303.9542181217443,1.0131024517255398,1.0450776630791785,0.83864190506895,3.7198138780979018,6.937027704661724,25.65230307744765,3.698492505970508,303.9542181217443,468.2894596269157,1228300.3034038378,459.2164426818296,789959.7720141774,303.24393780918473,0.8799627386590042,1.02911589480252,0.8155033676993858,3.5135776469342503,25.65230307744765,89.99999841273495,3.508575585888979,303.24393780918473,464.26340369956426,1207216.6000678947,460.906741,797441.1183335772,305.9256042869747,0.8640785769458819,7.388245614035087,1.0293311797082016,1.0450776630791785,1.02911589480252
7.407368421052631,0.8563296606737552,4244872.597798626,436.0856596423782,0.7306538210526314,0.8651871301391375,0.8070882734430848,2.1123281511158973,1.01325,2.0335446201155896,2.0069532314292156,298.0,385.705522069404,654403.4326630542,379.24133531887554,445677.5693916359,301.6258536266839,1.088737153951445,1.0293955280745346,0.8372815748548031,3.5043719913355846,2.0335446201155896,6.967675598626119,3.426308051035555,301.6258536266839,455.8780997769851,1155357.8226170077,444.3953882193569,724746.7070722077,303.96811812637293,1.011293931464549,1.0429356830357592,0.8387011029411806,3.697812458901714,6.967675598626119,25.61128592286617,3.6765668975153516,303.96811812637293,467.41677549044124,1224702.2598187611,458.39739052459356,786337.0104928561,303.23852747511046,0.883654527942828,1.0294374159656343,0.8167241511756517,3.519273659991077,25.61128592286617,89.9999986083862,3.514229773742705,303.23852747511046,464.2699347712745,1210371.1008423911,460.906741,797441.1183470972,305.93111210261947,0.8651871301391375,7.407368421052631,1.0293955280745346,1.0429356830357592,1.0294374159656343
7.426491228070175,0.8565606289447161,4253045.875528839,435.99717457227825,0.732540094736842,0.8662929615610859,0.8076294815965536,2.1204030738827075,1.01325,2.0411739114750103,2.014482785701679,298.0,386.1410307760776,659370.9800254554,379.63953936898594,447358.39039455564,301.6475950001671,1.0875119106812658,1.0294570991164163,0.837381159387297,3.5063493797958882,2.0411739114750103,6.998197039106272,3.4284589945800947,301.6475950001671,455.9742759410641,1158905.6444811919,444.4768826495657,725102.9264323751,303.9819481945772,1.009514966440278,1.0408321249228398,0.8387580347561303,3.6761985045740695,6.998197039106272,25.571495783467153,3.655027443826872,303.9819481945772,466.55767662963035,1221179.8256274445,457.59089752503763,782771.3891857392,303.23316877586956,0.8873067211944932,1.0297496098503178,0.8179076654163394,3.524804726929129,25.571495783467153,89.99999879551203,3.519719423253753,303.23316877586956,464.27642664866573,1213527.2239915563,460.906741,797441.1183586457,305.93666050845866,0.8662929615610859,7.426491228070175,1.0294570991164163,1.0408321249228398,1.0297496098503178
7.445614035087719,0.856784589880241,4261290.585290048,435.9110901864905,0.7344263684210526,0.8673961475230894,0.8081649562763076,2.128476825818184,1.01325,2.048800546462625,2.0220097117440656,298.0,386.57526567519267,664345.9457173846,380.03651196216646,449034.2220976433,301.6693169281868,1.0862966211275409,1.0295156805843915,0.8374782954346967,3.508265411059926,2.048800546462625,7.028595415172236,3.430546824809387,301.6693169281868,456.0682840469909,1162438.5865308796,444.5563935491419,725450.4857462663,303.9957101521609,1.0077650961421487,1.0387664609798004,0.8388126283019601,3.6549665428889457,7.028595415172236,25.532939267290082,3.633868691700282,303.9957101521609,465.71193972619716,1217732.2580187041,456.7967540504972,779261.9816426847,303.22786055692035,0.8909201614127201,1.0300524441168195,0.8190536586814796,3.5301702933644736,25.532939267290082,89.99999897307642,3.525043933210499,303.22786055692035,464.28288032503457,1216684.9206761178,460.906741,797441.118368378,305.9422481110591,0.8673961475230894,7.445614035087719,1.0295156805843915,1.0387664609798004,1.0300524441168195
7.464736842105263,0.8570015146651553,4269604.111961649,435.82740308087017,0.736312642105263,0.8684967643365104,0.8086948222963858,2.1365494427050735,1.01325,2.0564246058590836,2.02953408947951,298.0,387.00826297715184,669328.0941241436,380.4322879411133,450705.20615928684,301.6910199940888,1.085091045896341,1.0295710602290058,0.8375729960316776,3.5101197534054047,2.0564246058590836,7.058874115894057,3.4325713957744752,301.6910199940888,456.160141888349,1165957.0565798192,444.63393219257904,725789.4345952858,304.00940582492746,1.006043860059581,1.0367381634460209,0.8388648113668316,3.6341111016203222,7.058874115894057,25.495622982374467,3.6130851879307957,304.00940582492746,464.8793414618555,1214358.8141813583,456.0147504683079,775807.8614135513,303.2226016637211,0.8944956915962288,1.0303458864253887,0.8201618792311022,3.5353698049131776,25.495622982374467,89.99999914004341,3.5302027024013136,303.2226016637211,464.2892967936777,1219844.1420568016,460.906741,797441.1183764494,305.9478735169879,0.8684967643365104,7.464736842105263,1.0295710602290058,1.0367381634460209,1.0303458864253887
7.483859649122807,0.8572113744842846,4277983.840423039,435.7461098512722,0.7381989157894736,0.869594888312711,0.8092192044708272,2.1446209603261224,1.01325,2.064046170445036,2.037055998831149,298.0,387.4400588923584,674317.1896310345,380.826902148523,452371.4842378746,301.7127047812183,1.0838949455937372,1.0296230258008037,0.8376652742129156,3.511912075110033,2.064046170445036,7.089036530341792,3.434532561526405,301.7127047812183,456.24986725872185,1169461.462441758,444.7095098543705,726119.8225608384,304.0230370386806,1.0043507976819959,1.0347467045608802,0.8389145117389057,3.6136267085421747,7.089036530341792,25.459553536759806,3.5926714793136254,304.0230370386806,464.05965851831945,1211058.7513042234,455.2446771458052,772408.1020481968,303.2173909417301,0.8980341547437396,1.0306299044362748,0.821232075325237,3.5404027071913093,25.459553536759806,89.99999929537701,3.5351951296145727,303.2173909417301,464.2956770478918,1223004.8392943353,460.906741,797441.1183830152,305.9535353328119,0.869594888312711,7.483859649122807,1.0296230258008037,1.0347467045608802,1.0306299044362748
7.502982456140351,0.8574141405224543,4286427.155553613,435.66720709355184,0.7400851894736841,0.8706905957630536,0.8097382276136709,2.1526914144640763,1.01325,2.071665321001132,2.0445755197221187,298.0,387.87068963121544,679312.9966233594,381.2203894270919,454033.1979917949,301.734371872921,1.0827080808258003,1.0296713650503313,0.837755143013086,3.513642044451519,2.071665321001132,7.119086047585489,3.436430176116221,301.734371872921,456.3374779516929,1172952.2119304438,444.7831378090099,726441.6992243291,304.036605619224,1.002685448498814,1.0327915565637584,0.8389616572063441,3.593507891428482,7.119086047585489,25.424737538485594,3.5726221126439857,304.036605619224,463.2526675773029,1207831.3265761177,454.4863244503245,769061.77709648,303.2122272364058,0.9015363938539726,1.0309044658097275,0.8222639952239147,3.5452684458149375,25.424737538485594,89.99999943804126,3.54002061363865,303.2122272364058,464.3020220809734,1226166.9635494456,460.906741,797441.1183882309,305.95923216509823,0.8706905957630536,7.502982456140351,1.0296713650503313,1.0327915565637584,1.0309044658097275
7.522105263157894,0.8576097839644902,4294931.44223277,435.59069140356416,0.7419714631578946,0.8717839629989008,0.8102520165389556,2.1607608409016827,1.01325,2.0792821383080207,2.052092732075555,298.0,388.300191404126,684315.27948642,381.61278461951645,455690.48907943594,301.7560218525422,1.081530212198601,1.0297158657281336,0.8378426154668646,3.515309329707569,2.0792821383080207,7.149026056695201,3.438264093594967,301.7560218525422,456.4229917608456,1176429.7128596243,444.85482733099053,726755.1141671625,304.0501133923612,1.0010473519994563,1.0308721916940349,0.8390061755573082,3.5737491780532213,7.149026056695201,25.39118159559132,3.5529316347170874,304.0501133923612,462.45814532051975,1204675.7971858575,453.73948274920144,765767.9601082589,303.20710939320634,0.9050032519256479,1.031169538205996,0.8232573871871649,3.549966466400128,25.39118159559132,89.99999956700015,3.5446785532619187,303.20710939320634,464.3083328862193,1229330.4659828593,460.906741,797441.1183922519,305.96496262041376,0.8717839629989008,7.522105263157894,1.0297158657281336,1.0308721916940349,1.031169538205996
