Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,total_mdot_water_kg_s,warnings,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,Optimization_Success,Status,opt_n_stage1
13.8,0.832478,8045952.002,,,Success,1.361215,1.097984,0.806259,4.031739,1.01325,3.714578,3.666003,298,477.383195,2507081.234,460.733639,796673.0685,307.528899,1.121202,1,0.830184,3.079003,3.714578,11.129685,2.996218,307.528899,447.173028,1947512.284,434.317728,680874.9638,306.535572,1.184402,1,0.819638,2.949728,11.129685,32.505219,2.920588,306.535572,441.744598,1883706.712,433.065638,675447.2303,305.178324,1.301158,1,0.795,2.625901,32.505219,85,2.614965,305.178324,427.551974,1707651.771,423.996633,636271.7163,306.270892,TRUE,Success,1.097984
13.75,0.832772,8011458.802,,,Success,1.356283,1.096367,0.806896,4.017147,1.01325,3.702473,3.654057,298,476.685912,2488161.109,460.129069,793991.6718,307.481754,1.120706,1,0.830256,3.07989,3.702473,11.096971,2.997178,307.481754,447.134254,1940564.02,434.296457,680782.7155,306.51486,1.18355,1,0.819797,2.951686,11.096971,32.431874,2.922588,306.51486,441.783831,1877713.224,433.110056,675639.6996,305.162247,1.299342,1,0.795417,2.631785,32.431874,85,2.620878,305.162247,427.791325,1705020.449,424.235076,637298.7631,306.270622,TRUE,Success,1.096367
13.7,0.833066,7977020.62,,,Success,1.351351,1.094752,0.807532,4.002574,1.01325,3.690378,3.64212,298,475.989344,2469323.832,459.524867,791313.5413,307.434617,1.120204,1,0.830328,3.080784,3.690378,11.064293,2.998146,307.434617,447.095731,1933618.39,434.27544,680691.5685,306.494135,1.182689,1,0.819957,2.953659,11.064293,32.35866,2.924603,306.494135,441.823442,1871719.159,433.154857,675833.8327,305.146157,1.297512,1,0.795836,2.637684,32.35866,85,2.626808,305.146157,428.030379,1702359.239,424.473268,638324.8819,306.270268,TRUE,Success,1.094752
13.65,0.833361,7942637.377,,,Success,1.346419,1.093138,0.808166,3.98802,1.01325,3.678292,3.630192,298,475.293502,2450569.444,458.921046,788638.7184,307.387489,1.119697,1,0.830401,3.081686,3.678292,11.031652,2.999123,307.387489,447.057464,1926675.411,434.254682,680601.5465,306.473397,1.181819,1,0.820118,2.955645,11.031652,32.285579,2.926631,306.473397,441.863433,1865724.497,433.200044,676029.6423,305.130054,1.295669,1,0.796258,2.643599,32.285579,85,2.632754,305.130054,428.269123,1699668.026,424.711198,639350.0263,306.269828,TRUE,Success,1.093138
13.6,0.833657,7908308.998,,,Success,1.341487,1.091524,0.808798,3.973485,1.01325,3.666216,3.618274,298,474.598399,2431897.988,458.317618,785967.2458,307.340374,1.119185,1,0.830474,3.082596,3.666216,10.999047,3.000109,307.340374,447.019461,1919735.101,434.234189,680512.6734,306.452647,1.18094,1,0.820281,2.957645,10.999047,32.212633,2.928675,306.452647,441.903807,1859729.213,433.245619,676227.1411,305.113938,1.293812,1,0.796681,2.64953,32.212633,85,2.638716,305.113938,428.507547,1696946.695,424.948855,640374.1491,306.269302,TRUE,Success,1.091524
13.55,0.833953,7874035.408,,,Success,1.336556,1.089912,0.809427,3.95897,1.01325,3.65415,3.606365,298,473.904048,2413309.51,457.714599,783299.1674,307.293271,1.118667,1,0.830548,3.083514,3.65415,10.966481,3.001103,307.293271,446.981726,1912797.48,434.213965,680424.9736,306.431885,1.180053,1,0.820444,2.959659,10.966481,32.139824,2.930733,306.431885,441.944566,1853733.286,433.291585,676426.3417,305.097808,1.291941,1,0.797107,2.655476,32.139824,85,2.644694,305.097808,428.745638,1694195.131,425.186229,641397.2022,306.26869,TRUE,Success,1.089912
13.5,0.834249,7839816.531,,,Success,1.331624,1.088301,0.810054,3.944473,1.01325,3.642093,3.594467,298,473.210462,2394804.058,457.112002,780634.5286,307.246184,1.118142,1,0.830622,3.084441,3.642093,10.933952,3.002107,307.246184,446.944266,1905862.565,434.194018,680338.4716,306.41111,1.179156,1,0.820609,2.961688,10.933952,32.067155,2.932805,306.41111,441.985715,1847736.69,433.337946,676627.2569,305.081664,1.290057,1,0.797535,2.661438,32.067155,85,2.650687,305.081664,428.983385,1691413.218,425.423307,642419.1368,306.267991,TRUE,Success,1.088301
13.45,0.834547,7805652.298,,,Success,1.326692,1.08669,0.810679,3.929997,1.01325,3.630047,3.582578,298,472.517656,2376381.681,456.50984,777973.3758,307.199113,1.117612,1,0.830697,3.085375,3.630047,10.901463,3.003119,307.199113,446.907086,1898930.375,434.174352,680253.1922,306.390322,1.17825,1,0.820775,2.963731,10.901463,31.994626,2.934893,306.390322,442.027255,1841739.402,433.384703,676829.8995,305.065507,1.288158,1,0.797966,2.667415,31.994626,85,2.656696,305.065507,429.220775,1688600.841,425.660079,643439.9032,306.267205,TRUE,Success,1.08669
13.4,0.834844,7771542.636,,,Success,1.32176,1.085081,0.811301,3.91554,1.01325,3.618011,3.570699,298,471.825642,2358042.429,455.90813,775315.7572,307.152062,1.117076,1,0.830773,3.086318,3.618011,10.869013,3.004141,307.152062,446.870193,1892000.927,434.154974,680169.1607,306.369522,1.177335,1,0.820942,2.965789,10.869013,31.922241,2.936995,306.369522,442.069189,1835741.397,433.43186,677034.2823,305.049336,1.286245,1,0.798399,2.673408,31.922241,85,2.66272,305.049336,429.457796,1685757.883,425.896533,644459.4511,306.266331,TRUE,Success,1.085081
13.35,0.835143,7737487.478,,,Success,1.316828,1.083473,0.81192,3.901102,1.01325,3.605985,3.558831,298,471.134435,2339786.358,455.306885,772661.7222,307.105031,1.116534,1,0.83085,3.087269,3.605985,10.836604,3.005172,307.105031,446.833593,1885074.242,434.135889,680086.4026,306.348709,1.17641,1,0.821111,2.967861,10.836604,31.850002,2.939113,306.348709,442.11152,1829742.65,433.479421,677240.4183,305.033151,1.284318,1,0.798834,2.679415,31.850002,85,2.66876,305.033151,429.694436,1682884.229,426.132656,645477.7291,306.26537,TRUE,Success,1.083473
