Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,total_mdot_water_kg_s,warnings,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,Optimization_Success,Status,opt_n_stage1,opt_n_stage4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.2,0.845369,7537736.301,,,Success,1.302032,1.093177,0.816255,4.08862,1.01325,3.803737,3.753996,298,477.352233,2397610.501,460.906741,797441.1184,307.263339,1.046863,1,0.838317,3.189697,3.803737,11.858245,3.117525,307.263339,450.522682,1911368.321,437.597928,695117.804,306.515374,1.063266,1,0.837026,3.169116,11.858245,37.301675,3.145632,306.515374,449.279245,1903274.105,440.507453,707780.4941,305.552769,1.085216,0.931786,0.82206,2.286326,37.301675,84.99999,2.278718,305.552769,405.285789,1325483.373,402.66293,544938.5485,305.325676,TRUE,Success,1.093177,0.931786
13.15,0.846113,7501059.978,,,Success,1.2971,1.09279,0.817043,4.092137,1.01325,3.809864,3.760044,298,477.312769,2387992.578,460.906741,797441.1184,307.250208,1.041199,1,0.838685,3.196299,3.809864,11.905468,3.124906,307.250208,450.739622,1907208.717,437.814525,696059.4997,306.50951,1.055027,1,0.837715,3.179726,11.905468,37.580845,3.156604,306.50951,449.641934,1901005.532,440.874808,709381.3017,305.567305,1.0731,0.928181,0.823404,2.269229,37.580845,84.999997,2.26179,305.567305,404.144733,1304853.152,401.568271,540278.635,305.270171,TRUE,Success,1.09279,0.928181
13.1,0.846818,7464704.315,,,Success,1.292168,1.092473,0.817835,4.096537,1.01325,3.816876,3.766964,298,477.3056,2378812.629,460.906741,797441.1184,307.221426,1.035286,1,0.839024,3.202913,3.816876,11.955711,3.132329,307.221426,450.938749,1902992.895,438.015267,696932.4014,306.502982,1.046588,1,0.838336,3.190024,11.955711,37.866972,3.16727,306.502982,449.999361,1898640.6,441.237798,710963.5411,305.582018,1.060967,0.924567,0.824706,2.251972,37.866972,85,2.2447,305.582018,402.996979,1284258.192,400.466696,535591.5866,305.214007,TRUE,Success,1.092473,0.924567
13.05,0.847482,7429312.736,,,Success,1.287236,1.092079,0.818605,4.0995,1.01325,3.822423,3.772438,298,477.249433,2368977.72,460.906741,797441.1184,307.216246,1.029829,1,0.839295,3.208765,3.822423,11.998293,3.138923,307.216246,451.148591,1898589.731,438.225258,697845.6652,306.496348,1.038882,1,0.838823,3.198924,11.998293,38.112626,3.176504,306.496348,450.313544,1895666.788,441.55824,712360.6913,305.592794,1.050124,0.921411,0.825847,2.237356,38.112626,85,2.230232,305.592794,402.016624,1266078.497,399.526482,531592.9031,305.164751,TRUE,Success,1.092079,0.921411
13,0.848108,7394199.834,,,Success,1.282304,1.091762,0.819378,4.103428,1.01325,3.828937,3.778867,298,477.228547,2359619.009,460.906741,797441.1184,307.193957,1.024101,1,0.839535,3.21465,3.828937,12.04424,3.145583,307.193957,451.340034,1894143.298,438.418887,698687.8934,306.489054,1.030941,1,0.839243,3.207592,12.04424,38.367088,3.185513,306.489054,450.626681,1892657.974,441.878336,713756.691,305.604001,1.039181,0.918216,0.826955,2.222416,38.367088,84.999996,2.21544,305.604001,401.019531,1247779.552,398.569745,527525.6138,305.114506,TRUE,Success,1.091762,0.918216
12.95,0.848695,7359656.942,,,Success,1.277372,1.091448,0.820141,4.107177,1.01325,3.835261,3.785109,298,477.202947,2350199.911,460.90673,797441.0657,307.173877,1.018446,1,0.839724,3.220198,3.835261,12.088328,3.151892,307.173877,451.527552,1889595.35,438.608901,699514.5206,306.481394,1.023218,1,0.839568,3.215533,12.088328,38.607515,3.193785,306.481394,450.921453,1889381.376,442.1806,715075.2452,305.613688,1.028754,0.915204,0.827976,2.208481,38.607515,85.000001,2.201644,305.613688,400.08807,1230480.306,397.676135,523728.1889,305.06689,TRUE,Success,1.091448,0.915204
12.9,0.849243,7325610.714,,,Success,1.27244,1.091153,0.820898,4.110988,1.01325,3.841638,3.791402,298,477.181117,2340833.361,460.906741,797441.1184,307.151923,1.012794,1,0.839866,3.225486,3.841638,12.131644,3.157936,307.151923,451.708454,1884963.995,438.792937,700315.2563,306.473323,1.015614,1,0.839801,3.22288,12.131644,38.83889,3.201453,306.473323,451.203103,1885909.431,442.470202,716338.8657,305.622331,1.018692,0.91232,0.828925,2.195232,38.83889,85,2.188528,305.622331,399.202565,1213903.928,396.826671,520119.6882,305.021089,TRUE,Success,1.091153,0.91232
12.85,0.849752,7292076.445,,,Success,1.267508,1.090862,0.821645,4.114625,1.01325,3.847828,3.797511,298,477.154918,2331411.559,460.903724,797427.7298,307.130259,1.00721,1,0.839957,3.230456,3.847828,12.173177,3.163649,307.130259,451.883789,1880236,438.971876,701093.9187,306.464826,1.008212,1,0.839944,3.229582,12.173177,39.057238,3.208467,306.464826,451.46975,1882219.43,442.745148,717538.8054,305.629625,1.009082,0.909596,0.829796,2.182871,39.057238,84.999994,2.176293,305.629625,398.375432,1198209.455,396.033408,516751.0721,304.977696,TRUE,Success,1.090862,0.909596
12.8,0.850227,7259019.62,,,Success,1.262576,1.090597,0.822385,4.118412,1.01325,3.854161,3.803761,298,477.135735,2322084.59,460.906602,797440.4998,307.108559,1.001607,1,0.839998,3.235189,3.854161,12.214311,3.169123,307.108559,452.056721,1875457.703,439.148679,701863.3935,306.456119,1.000893,1,0.839999,3.235774,12.214311,39.268574,3.214964,306.456119,451.727385,1878389.38,443.011368,718700.916,305.63613,0.999757,0.906973,0.830603,2.171038,39.268574,85.000008,2.164581,305.63613,397.58435,1183087.947,395.274783,513530.5694,304.935757,TRUE,Success,1.090597,0.906973
