Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,total_mdot_water_kg_s,warnings,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,Optimization_Success,Status,opt_n_stage1,opt_n_stage2,opt_n_stage4
14.65,0.826282,8679081.625,,,Success,1.445058,1.1,0.789728,3.804722,1.01325,3.437496,3.392545,298,472.047987,2581459.447,455.639715,774130.723,307.64451,1.286445,1.065366,0.814147,3.683357,3.437496,12.286888,3.574371,307.64451,476.941755,2512591.667,460.906741,797441.1183,308.15919,1.141947,1,0.827021,3.040133,12.286888,37.020938,3.013044,308.15919,447.293916,2058925.652,438.270356,698041.8149,305.861431,1.214171,0.958604,0.802371,2.305521,37.020938,85,2.295998,305.861431,409.139132,1526104.859,406.164808,559861.6584,305.690512,TRUE,Success,1.1,1.065366,0.958604
14.6,0.827999,8626580.474,,,Success,1.440126,1.1,0.790765,3.822606,1.01325,3.458463,3.413238,298,472.548082,2580125.737,456.105585,776187.7034,307.646528,1.274286,1.064157,0.81615,3.692401,3.458463,12.400203,3.585466,307.646528,476.914866,2503552.349,460.906741,797441.1184,308.144199,1.127622,1,0.82924,3.067345,12.400203,37.708176,3.040932,308.144199,448.208942,2065721.793,439.17213,701965.464,305.921973,1.188092,0.949898,0.80563,2.263272,37.708176,85,2.254153,305.921973,406.286244,1477180.596,403.424562,548182.1433,305.559846,TRUE,Success,1.1,1.064157,0.949898
14.55,0.829608,8576126.285,,,Success,1.435194,1.1,0.791798,3.840176,1.01325,3.479102,3.433607,298,473.032698,2578510.681,456.557645,778184.5817,307.647699,1.262391,1.062988,0.818067,3.700399,3.479102,12.508941,3.595451,307.647699,476.860272,2494115.592,460.886811,797352.6795,308.131017,1.113968,1,0.831208,3.091739,12.508941,38.351927,3.065961,308.131017,449.022567,2070898.205,439.977468,705471.811,305.976231,1.164252,0.94199,0.808569,2.225073,38.351927,85.000009,2.216317,305.976231,403.695694,1432601.807,400.935004,537583.8943,305.43811,TRUE,Success,1.1,1.062988,0.94199
14.5,0.831141,8527288.903,,,Success,1.430262,1.099992,0.792824,3.857277,1.01325,3.499256,3.453497,298,473.49627,2576533.891,456.990916,780099.2863,307.647803,1.250807,1.061979,0.81991,3.709145,3.499256,12.618717,3.606115,307.647803,476.849679,2485356.241,460.903761,797427.8953,308.117949,1.100459,1,0.833,3.114388,12.618717,38.982142,3.089232,308.117949,449.774006,2075074.515,440.724502,708726.264,306.02742,1.141589,0.934497,0.811311,2.188904,38.982142,85,2.180486,306.02742,401.236414,1390324.256,398.570246,527527.7428,305.32006,TRUE,Success,1.099992,1.061979,0.934497
14.45,0.832589,8480000.67,,,Success,1.42533,1.1,0.793849,3.874374,1.01325,3.519396,3.473374,298,473.956495,2574460.605,457.421236,782001.7451,307.647579,1.239361,1.061011,0.821686,3.717208,3.519396,12.726327,3.616054,307.647579,476.823533,2476372.827,460.90667,797440.7995,308.104108,1.087367,1,0.834577,3.13493,12.726327,39.583567,3.110369,308.104108,450.453622,2078131.22,441.403374,711685.4207,306.074292,1.120453,0.927541,0.813816,2.155466,39.583567,85.000003,2.147356,306.074292,398.95534,1351036.018,396.375861,518205.1757,305.208251,TRUE,Success,1.1,1.061011,0.927541
14.4,0.833943,8434276.258,,,Success,1.420399,1.1,0.794868,3.891001,1.01325,3.539051,3.492771,298,474.396163,2572037.313,457.83321,783823.8424,307.646327,1.22821,1.060116,0.823372,3.724816,3.539051,12.830736,3.625474,307.646327,476.794962,2467372.389,460.906741,797441.1184,308.089644,1.074761,1,0.835936,3.153397,12.830736,40.152534,3.129402,308.089644,451.066181,2080147.029,442.018268,714367.0717,306.1168,1.100831,0.921119,0.816087,2.124756,40.152534,85,2.116927,306.1168,396.853505,1314719.527,394.353168,509619.4702,305.103179,TRUE,Success,1.1,1.060116,0.921119
14.35,0.835215,8389946.052,,,Feas(LowTol),1.415467,1.1,0.795881,3.907315,1.01325,3.558377,3.511846,298,474.821327,2569356.144,458.232257,785589.4637,307.644305,1.217294,1.059288,0.824977,3.732033,3.558377,12.932743,3.634449,307.644305,476.765443,2458373.031,460.906741,797441.1181,308.075528,1.062557,1,0.837088,3.170051,12.932743,40.694146,3.146598,308.075528,451.624766,2081309.858,442.581602,716825.0149,306.15571,1.082477,0.915141,0.818155,2.096323,40.694146,85.000027,2.088753,306.15571,394.902066,1280907.018,392.474588,501651.6733,305.003868,FALSE,Feas(LowTol),1.1,1.059288,0.915141
14.3,0.836408,8346905.392,,,Success,1.410535,1.1,0.796889,3.923314,1.01325,3.577376,3.530596,298,475.232219,2566422.675,458.618585,787299.474,307.64153,1.206605,1.058526,0.826499,3.738894,3.577376,13.03244,3.643016,307.64153,476.736507,2449397.068,460.906663,797440.7712,308.060961,1.05073,1,0.838042,3.185042,13.03244,41.209981,3.162108,308.060961,452.135625,2081730.525,443.099254,719084.6154,306.191342,1.065264,0.909563,0.820038,2.069938,41.209981,85.000005,2.062607,306.191342,393.086588,1249355.124,390.726392,494242.0713,304.909928,TRUE,Success,1.1,1.058526,0.909563
14.25,0.837523,8305075.944,,,Success,1.405603,1.1,0.797892,3.938999,1.01325,3.596047,3.549022,298,475.629067,2563242.374,458.9924,788954.7228,307.638021,1.196136,1.057825,0.827937,3.745378,3.596047,13.129734,3.651158,307.638021,476.707634,2440436.44,460.906495,797440.0254,308.046205,1.039272,1,0.838801,3.198484,13.129734,41.700664,3.176048,308.046205,452.604938,2081502.453,443.576978,721170.7655,306.223946,1.049105,0.904352,0.821747,2.045447,41.700664,85,2.038337,306.223946,391.397415,1219894.677,389.099433,487350.6814,304.821153,TRUE,Success,1.1,1.057825,0.904352
14.2,0.838564,8264382.771,,,Success,1.400671,1.1,0.798889,3.95437,1.01325,3.61439,3.567125,298,476.012094,2559820.605,459.353905,790556.0449,307.633795,1.185882,1.057181,0.829292,3.751481,3.61439,13.224579,3.658869,307.633795,476.678797,2431490.422,460.90621,797438.7604,308.031256,1.028173,1,0.839369,3.210493,13.224579,42.167011,3.188533,308.031256,453.038056,2080709.607,444.019776,723105.1234,306.253757,1.033912,0.899481,0.823296,2.022699,42.167011,85,2.015794,306.253757,389.825089,1192362.137,387.584724,480938.4198,304.737297,TRUE,Success,1.1,1.057181,0.899481
14.15,0.839534,8224758.584,,,Success,1.395739,1.1,0.79988,3.969427,1.01325,3.632404,3.584904,298,476.381519,2556162.628,459.703296,792104.2605,307.628867,1.175837,1.056592,0.830562,3.757214,3.632404,13.31699,3.666164,307.628867,476.650598,2422567.438,460.906349,797439.3754,308.016137,1.017418,1,0.839754,3.221179,13.31699,42.610054,3.199676,308.016137,453.439964,2079429.159,444.432324,724907.9631,306.281006,1.019604,0.894919,0.824697,2.00155,42.610054,85,1.994834,306.281006,388.360358,1166599.36,386.173447,474967.1234,304.658087,TRUE,Success,1.1,1.056592,0.894919
14.1,0.840434,8186140.454,,,Success,1.390807,1.1,0.800866,3.984169,1.01325,3.650091,3.60236,298,476.737557,2552273.603,460.040768,793600.1762,307.623254,1.165994,1.056051,0.831747,3.762511,3.650091,13.406706,3.672979,307.623254,476.620699,2413633.251,460.904799,797432.4996,308.000743,1.007014,1,0.839959,3.230626,13.406706,43.02964,3.209561,308.000743,453.814129,2077717.133,444.817821,726593.143,306.305799,1.006135,0.890652,0.82596,1.981922,43.02964,85,1.975383,306.305799,386.99843,1142516.466,384.861084,469416.9639,304.583446,TRUE,Success,1.1,1.056051,0.890652
14.05,0.841266,8148479.498,,,Success,1.385875,1.099998,0.801844,3.99856,1.01325,3.667411,3.619453,298,477.079045,2548138.786,460.365282,795039.132,307.616917,1.15636,1.055562,0.832845,3.767465,3.667411,13.493897,3.679407,307.616917,476.593025,2404745.198,460.905088,797433.7809,307.985234,0.996934,1,0.839992,3.238943,13.493897,43.427371,3.218297,307.985234,454.165184,2075641.94,445.180651,728179.7268,306.328391,0.993422,0.88665,0.827096,1.963666,43.427371,85,1.957291,306.328391,385.729681,1119953.575,383.63842,464248.3665,304.513025,TRUE,Success,1.099998,1.055562,0.88665
14,0.842034,8111699.672,,,Success,1.380943,1.1,0.802818,4.012712,1.01325,3.68448,3.636299,298,477.410314,2543822.58,460.680714,796438.2677,307.610034,1.146894,1.055104,0.833859,3.771879,3.68448,13.578255,3.685257,307.610034,476.559509,2395784.319,460.899966,797411.0532,307.969285,0.987189,1,0.839859,3.246202,13.578255,43.80288,3.225958,307.969285,454.495319,2073242.701,445.522822,729676.4099,306.348829,0.981433,0.882905,0.828114,1.946734,43.80288,85,1.940512,306.348829,384.551078,1098850.072,382.502608,459448.7987,304.446789,TRUE,Success,1.1,1.055104,0.882905
