Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,total_mdot_water_kg_s,warnings,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,Optimization_Success,Status,opt_n_stage1,opt_n_stage3,opt_n_stage4
13.85,0.84146,8398199.663,,,Feas(LowTol),1.366147,1.099157,0.805534,4.038744,1.01325,3.718985,3.670353,298,477.809837,2522229.525,460.906741,797441.1184,307.455841,1.123797,1,0.829806,3.074331,3.718985,11.124087,2.991162,307.455841,446.912629,1951904.166,434.065592,679781.5769,306.540658,1.189301,1.049681,0.82781,3.641424,11.124087,40.180669,3.612042,306.540658,471.430816,2312357.586,460.906741,797441.1184,306.514778,1.058731,0.950957,0.830696,2.571226,40.180669,103.022612,2.563984,306.514778,421.665865,1611708.385,418.88037,614270.2974,307.205818,FALSE,Feas(LowTol),1.099157,1.049681,0.950957
13.8,0.842379,8354943.103,,,Feas(LowTol),1.361215,1.098651,0.806385,4.043098,1.01325,3.726088,3.677362,298,477.788593,2512819.033,460.906741,797441.1184,307.434701,1.117567,1,0.830704,3.085455,3.726088,11.190205,3.003205,307.434701,447.254074,1949945.782,434.395211,681211.0059,306.542788,1.17801,1.048685,0.829286,3.645169,11.190205,40.467615,3.616343,306.542788,471.309821,2302215.556,460.875389,797301.9989,306.549274,1.047488,0.947696,0.831693,2.552581,40.467615,103.010046,2.545493,306.549274,420.581131,1589962.732,417.840775,609807.8611,307.153192,FALSE,Feas(LowTol),1.098651,1.048685,0.947696
13.6,0.845585,8188451.994,,,Success,1.341487,1.096749,0.809761,4.060392,1.01325,3.754274,3.705181,298,477.704851,2475216.47,460.906741,797441.1184,307.348971,1.092949,1,0.833925,3.12634,3.754274,11.441806,3.047674,307.348971,448.491868,1939989.403,435.597757,686428.857,306.543636,1.135411,1.046084,0.834269,3.666654,11.441806,41.646735,3.639874,306.543636,471.259938,2267998.184,460.906741,797441.1184,306.515054,1.003024,0.9349,0.835062,2.479682,41.646735,103.000007,2.473183,306.515054,416.148106,1505247.938,413.588068,591580.3768,306.937098,TRUE,Success,1.096749,1.046084,0.9349
13.55,0.846341,8148808.029,,,Success,1.336556,1.096303,0.810596,4.064672,1.01325,3.761252,3.712067,298,477.684023,2465822.815,460.906741,797441.1184,307.327341,1.086873,1,0.834634,3.135678,3.761252,11.501474,3.057884,307.327341,448.772042,1937015.621,435.871868,687618.8645,306.542076,1.125365,1.045393,0.835241,3.668695,11.501474,41.89283,3.642388,306.542076,471.160152,2258261.014,460.906741,797441.1184,306.558966,0.993537,0.932254,0.835652,2.465031,41.89283,103.000004,2.458655,306.558966,415.329622,1487708.579,412.804138,588224.9999,306.894713,TRUE,Success,1.096303,1.045393,0.932254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.45,0.847673,8071595.289,,,Success,1.326692,1.095317,0.812231,4.071061,1.01325,3.77298,3.723642,298,477.568117,2446017.802,460.906741,797441.1184,307.319336,1.075484,1,0.835862,3.152373,3.77298,11.606446,3.076201,307.319336,449.319904,1930333.2,436.408034,689947.2334,306.537214,1.106948,1.044393,0.836822,3.673881,11.606446,42.345273,3.648427,306.537214,471.071722,2240393.314,460.887714,797356.6879,306.556233,0.975663,0.927375,0.836617,2.438534,42.345273,102.999999,2.432385,306.556233,413.745299,1454850.973,411.286423,581732.829,306.811631,TRUE,Success,1.095317,1.044393,0.927375
13.4,0.848299,8034748.836,,,Success,1.32176,1.094655,0.81301,4.071219,1.01325,3.775753,3.726378,298,477.404444,2434671.392,460.906741,797441.1184,307.366248,1.070781,1,0.83633,3.158961,3.775753,11.642362,3.083455,307.366248,449.60971,1926486.604,436.689471,691169.7785,306.534298,1.099425,1.044072,0.837382,3.676326,11.642362,42.508793,3.651217,306.534298,471.063387,2231973.959,460.906146,797438.4749,306.550917,0.968288,0.9255,0.836964,2.429085,42.508793,103.00001,2.423028,306.550917,413.172156,1441616.881,410.739213,579393.3456,306.77946,TRUE,Success,1.094655,1.044072,0.9255
13.35,0.84888,7996931.307,,,Success,1.316828,1.094267,0.81383,4.075614,1.01325,3.782809,3.733342,298,477.391409,2425404.332,460.906741,797441.1184,307.3406,1.064751,1,0.836893,3.167146,3.782809,11.698289,3.092488,307.3406,449.851039,1922922.058,436.92846,692208.1294,306.530393,1.090079,1.043448,0.837988,3.676004,11.698289,42.714198,3.65132,306.530393,470.933655,2221899.216,460.815713,797037.2103,306.545336,0.960028,0.923297,0.83729,2.41733,42.714198,102.999998,2.411376,306.545336,412.471493,1426705.701,410.068376,576526.2182,306.741562,TRUE,Success,1.094267,1.043448,0.923297
13.3,0.849438,7959957.819,,,Success,1.311896,1.093861,0.814639,4.079492,1.01325,3.789331,3.739779,298,477.361153,2415903.749,460.906741,797441.1184,307.323218,1.058907,1,0.8374,3.174798,3.789331,11.75055,3.100956,307.323218,450.088518,1919168.979,437.163784,693230.7395,306.526001,1.081159,1.043154,0.838493,3.678703,11.75055,42.94146,3.654421,306.526001,470.945136,2213784.135,460.856631,797218.7657,306.544626,0.951369,0.920941,0.837567,2.404461,42.94146,103,2.398614,306.544626,411.718835,1411100.957,409.346974,573444.0721,306.701208,TRUE,Success,1.093861,1.043154,0.920941
13.25,0.849962,7923506.917,,,Success,1.306964,1.093476,0.815444,4.083484,1.01325,3.79596,3.746321,298,477.336032,2406476.101,460.906686,797440.8746,307.30326,1.05305,1,0.837868,3.18219,3.79596,11.802258,3.109163,307.30326,450.316205,1915292.26,437.390277,694215.1441,306.521057,1.072367,1.042906,0.838902,3.681211,11.802258,43.164671,3.657323,306.521057,470.966177,2205809.099,460.9061,797438.2733,306.543852,0.94289,0.918644,0.837778,2.391954,43.164671,103.000005,2.386211,306.543852,410.991764,1395929.457,408.650129,570467.9078,306.661834,TRUE,Success,1.093476,1.042906,0.918644
