Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,total_mdot_water_kg_s,warnings,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,Optimization_Success,Status,opt_n_stage1,opt_n_stage4
13.15,0.849054,7844529.535,,,Success,1.2971,1.092756,0.817038,4.091611,1.01325,3.809331,3.759518,298,477.294316,2387743.717,460.906741,797441.1184,307.259128,1.041359,1,0.838675,3.196115,3.809331,11.903019,3.1247,307.259128,450.745856,1907175.273,437.820002,696083.3172,306.509625,1.055245,1,0.837698,3.179453,11.903019,37.569759,3.156322,306.509625,449.632412,1900876.28,440.865287,709339.8057,305.566322,1.073414,0.9676,0.831575,2.74901,37.569759,103,2.741567,305.566322,429.537157,1648734.265,426.59205,647459.3041,307.395983,TRUE,Success,1.092756,0.9676
13.1,0.849694,7806051.779,,,Success,1.292168,1.092456,0.817832,4.096266,1.01325,3.816602,3.766693,298,477.296098,2378684.978,460.906741,797441.1184,307.226012,1.035368,1,0.83902,3.202823,3.816602,11.954465,3.132227,307.226012,450.942051,1902977.067,438.018172,696945.0373,306.503046,1.046697,1,0.838328,3.189894,11.954465,37.861419,3.167136,306.503046,449.994751,1898578.11,441.233176,710943.3917,305.581531,1.061122,0.964112,0.832657,2.727721,37.861419,102.999999,2.720447,305.581531,428.322431,1625811.623,425.429342,642445.1527,307.34383,TRUE,Success,1.092456,0.964112
13.05,0.850296,7768702.379,,,Success,1.287236,1.092079,0.818605,4.099499,1.01325,3.822422,3.772437,298,477.249385,2368977.084,460.906741,797441.1184,307.216269,1.029829,1,0.839295,3.208765,3.822422,11.998287,3.138923,307.216269,451.148608,1898589.658,438.225273,697845.7304,306.496349,1.038882,1,0.838823,3.198923,11.998287,38.112599,3.176503,306.496349,450.313522,1895666.493,441.558218,712360.5957,305.592792,1.050125,0.961074,0.83358,2.709642,38.112599,103,2.702518,305.592792,427.285409,1605469.143,424.437544,638170.9761,307.297695,TRUE,Success,1.092079,0.961074
13,0.850858,7731781.428,,,Success,1.282304,1.091754,0.819377,4.103311,1.01325,3.828819,3.778751,298,477.224464,2359564.583,460.906044,797438.0231,307.195526,1.024135,1,0.839534,3.214615,3.828819,12.043719,3.145544,307.195526,451.340975,1894135.404,438.419703,698691.4416,306.489062,1.030986,1,0.839241,3.207544,12.043719,38.364837,3.185464,306.489062,450.624884,1892633.992,441.876529,713748.8107,305.603806,1.039242,0.958071,0.834435,2.691727,38.364837,103,2.68475,305.603806,426.263302,1585447.448,423.459706,633959.5635,307.251746,TRUE,Success,1.091754,0.958071
12.95,0.851382,7695447.727,,,Success,1.277372,1.091449,0.820142,4.107202,1.01325,3.835286,3.785133,298,477.203801,2350211.243,460.906741,797441.1184,307.173471,1.018439,1,0.839725,3.220205,3.835286,12.088436,3.1519,307.173471,451.527241,1889596.485,438.608627,699513.3263,306.481388,1.023209,1,0.839568,3.215542,12.088436,38.607976,3.193794,306.481388,450.921805,1889386.131,442.180956,715076.7972,305.613728,1.028742,0.955198,0.835204,2.674679,38.607976,103,2.667843,305.613728,425.293524,1566253.868,422.531978,629966.3218,307.20741,TRUE,Success,1.091449,0.955198
12.9,0.851868,7659721.152,,,Success,1.27244,1.091152,0.820898,4.110972,1.01325,3.841621,3.791385,298,477.180542,2340825.76,460.906653,797440.7251,307.15215,1.012799,1,0.839866,3.225482,3.841621,12.131573,3.157931,307.15215,451.708603,1884963.041,438.793068,700315.8226,306.473325,1.01562,1,0.839801,3.222874,12.131573,38.838589,3.201447,306.473325,451.202874,1885906.385,442.469971,716337.8581,305.622305,1.0187,0.952482,0.835884,2.658705,38.838589,103.000005,2.652002,305.622305,424.386876,1548025.966,421.66485,626235.9657,307.16516,TRUE,Success,1.091152,0.952482
12.85,0.852317,7624559.176,,,Success,1.267508,1.090867,0.821646,4.114701,1.01325,3.847905,3.797587,298,477.157561,2331446.382,460.906093,797438.241,307.130356,1.00719,1,0.839957,3.230473,3.847905,12.173496,3.163669,307.130356,451.884664,1880246.225,438.972692,701097.4689,306.464882,1.008186,1,0.839945,3.229605,12.173496,39.058556,3.208491,306.464882,451.470823,1882232.859,442.746225,717543.5083,305.62974,1.009049,0.9499,0.836483,2.643644,39.058556,103,2.637066,305.62974,423.534549,1530633.71,420.849869,622731.7254,307.124725,TRUE,Success,1.090867,0.9499
12.8,0.852728,7589950.988,,,Success,1.262576,1.090587,0.822383,4.118266,1.01325,3.854013,3.803615,298,477.130633,2322017.625,460.902028,797420.2051,307.108372,1.001645,1,0.839998,3.235158,3.854013,12.213701,3.169087,307.108372,452.055059,1875438.409,439.147131,701856.6554,306.456014,1.000943,1,0.839999,3.235734,12.213701,39.266093,3.214922,306.456014,451.72539,1878364.514,443.009363,718692.1623,305.635915,0.99982,0.947466,0.837003,2.629586,39.266093,102.999993,2.623128,305.635915,422.741196,1514130.44,420.091587,619472.8047,307.086339,TRUE,Success,1.090587,0.947466
12.75,0.853105,7555862.346,,,Success,1.257645,1.090335,0.823114,4.121999,1.01325,3.860281,3.809801,298,477.111454,2312693.023,460.904945,797433.1451,307.086626,0.996077,1,0.839987,3.239612,3.860281,12.253587,3.174273,307.086626,452.224001,1870589.769,439.3203,702610.4163,306.446982,0.993773,1,0.839967,3.241382,12.253587,39.467174,3.220867,306.446982,451.972429,1874376.51,443.265183,719809.1097,305.641383,0.990849,0.945119,0.837453,2.616106,39.467174,103,2.609764,305.641383,421.984231,1498203.044,419.368216,616365.2845,307.049179,TRUE,Success,1.090335,0.945119
12.7,0.853444,7522292.546,,,Success,1.252713,1.090065,0.82383,4.125248,1.01325,3.86605,3.815495,298,477.077388,2303176.556,460.894544,797386.995,307.064291,0.990654,1,0.839925,3.243709,3.86605,12.290479,3.179079,307.064291,452.384623,1865622.134,439.485789,703330.8408,306.437342,0.986889,1,0.839852,3.246413,12.290479,39.651318,3.226182,306.437342,452.204547,1870178.953,443.506172,720861.5152,305.645267,0.982386,0.942953,0.837828,2.603878,39.651318,102.999998,2.597644,305.645267,421.298809,1483314.903,418.713786,613555.0598,307.014651,TRUE,Success,1.090065,0.942953
