Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,total_mdot_water_kg_s,warnings,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,Optimization_Success,Status,opt_n_stage1,opt_n_stage3,opt_n_stage4
6.95,0.853826,3934603.648,,,Success,0.68554,0.859949,0.781008,2.103407,1.01325,2.037284,2.010643,298,388.052592,630521.6023,381.546567,455410.252,301.572283,1.01953,1,0.839692,3.219155,2.037284,6.418878,3.150703,301.572283,443.236255,994673.0621,432.963536,675004.8374,303.383319,1.028926,1.051575,0.838923,3.787711,6.418878,24.17169,3.765719,303.383319,470.028825,1171919.729,460.887299,797354.8463,302.986677,0.878045,1.030447,0.814467,3.521491,24.17169,84.999996,3.51651,302.986677,464.34493,1137489.255,460.906741,797441.1184,305.401967,TRUE,Success,0.859949,1.051575,1.030447
7,0.85474,3956873.504,,,Success,0.690471,0.860186,0.784623,2.101762,1.01325,2.03426,2.007658,298,387.536007,631393.503,381.05293,453325.4915,301.569568,1.028387,1,0.83936,3.210271,2.03426,6.388847,3.140625,301.569568,442.896959,999428.2696,432.626572,673545.0509,303.396691,1.041222,1.051777,0.839238,3.790085,6.388847,24.07039,3.767564,303.396691,470.078559,1180612.031,460.904235,797429.9989,303.003396,0.888108,1.031202,0.817954,3.536405,24.07039,84.999993,3.531309,303.003396,464.35023,1145439.701,460.906726,797441.0499,305.434968,TRUE,Success,0.860186,1.051777,1.031202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,0.856065,4003000.439,,,Success,0.700335,0.862303,0.790549,2.112227,1.01325,2.04212,2.015416,298,387.526195,640333.4705,381.015185,453166.0966,301.60001,1.039116,1,0.83881,3.19866,2.04212,6.386838,3.127553,301.60001,442.521333,1010770.019,432.236157,671854.1309,303.434186,1.056494,1.049664,0.839343,3.764955,6.386838,23.898072,3.741769,303.434186,469.125634,1190260.985,459.967746,793276.4453,303.026738,0.907326,1.032484,0.823756,3.56209,23.898072,84.999999,3.556772,303.026738,464.385263,1161635.964,460.906741,797441.1184,305.465683,TRUE,Success,0.862303,1.049664,1.032484
7.15,0.856574,4026218.838,,,Success,0.705267,0.864161,0.792949,2.124294,1.01325,2.052961,2.026115,298,388.009584,648335.7119,381.449103,454998.6092,301.632683,1.040964,1,0.838699,3.196566,2.052961,6.415925,3.125206,301.632683,442.495294,1017461.718,432.192183,671663.7064,303.45877,1.059154,1.047227,0.839331,3.736945,6.415925,23.826448,3.713642,303.45877,468.059221,1190635.927,458.95502,788789.1766,303.032071,0.91647,1.033013,0.826146,3.57289,23.826448,85,3.567464,303.032071,464.400676,1169785.48,460.906193,797438.6829,305.483001,TRUE,Success,0.864161,1.047227,1.033013
7.2,0.857022,4048774.155,,,Success,0.710199,0.866973,0.794825,2.14463,1.01325,2.07217,2.045072,298,389.056847,660495.7429,382.405593,459038.924,301.685745,1.038618,1,0.838839,3.19922,2.07217,6.482122,3.128181,301.685745,442.667621,1025453.287,432.333492,672275.6527,303.490742,1.055724,1.042841,0.839412,3.688703,6.482122,23.760547,3.665551,303.490742,466.17407,1184792.951,457.184469,780954.891,303.027156,0.925431,1.033524,0.828261,3.582891,23.760547,84.999995,3.577359,303.027156,464.417655,1178032.174,460.90628,797439.0692,305.498907,TRUE,Success,0.866973,1.042841,1.033524
7.25,0.857422,4072137.778,,,Success,0.715131,0.869424,0.796801,2.161974,1.01325,2.088338,2.061029,298,389.896301,671237.7757,383.169176,462265.2775,301.731496,1.037812,1,0.838885,3.200121,2.088338,6.534811,3.129192,301.731496,442.767192,1032973.572,432.406918,672593.6559,303.519936,1.054535,1.039428,0.839436,3.65038,6.534811,23.703591,3.62728,303.519936,464.676423,1181662.692,455.772567,774717.2191,303.026249,0.934096,1.033963,0.830111,3.591591,23.703591,85,3.585955,303.026249,464.434703,1186263.739,460.906486,797439.9837,305.514763,TRUE,Success,0.869424,1.039428,1.033963
7.3,0.857781,4094352.32,,,Success,0.720063,0.873283,0.798103,2.19169,1.01325,2.117032,2.089348,298,391.552762,688102.8283,384.689481,468691.4146,301.80692,1.030935,1,0.839244,3.207598,2.117032,6.642414,3.137607,301.80692,443.148789,1042376.923,432.743761,674052.6935,303.559916,1.044676,1.033086,0.839621,3.582973,6.642414,23.649005,3.560303,303.559916,461.969928,1169243.435,453.238989,763545.0155,303.008171,0.94268,1.034429,0.831747,3.599972,23.649005,85,3.594232,303.008171,464.451611,1194629.133,460.90661,797440.5373,305.530566,TRUE,Success,0.873283,1.033086,1.034429
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.4,0.858388,4142183.017,,,Success,0.729927,0.878739,0.801535,2.231926,1.01325,2.154941,2.126761,298,393.560777,712564.7348,386.519889,476432.6939,301.911237,1.026851,1,0.839426,3.211858,2.154941,6.771728,3.142419,301.911237,443.46014,1058220.833,432.995666,675144.0489,303.622597,1.038871,1.025748,0.839699,3.502312,6.771728,23.564885,3.479893,303.622597,458.728643,1160196.636,450.184591,750110.7981,302.998116,0.958989,1.035148,0.834393,3.613003,23.564885,85,3.607062,302.998116,464.484836,1211200.814,460.906451,797439.831,305.562017,TRUE,Success,0.878739,1.025748,1.035148
