Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,total_mdot_water_kg_s,warnings,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,Optimization_Success,Status,opt_n_stage1
13.5,0.842979,8139677.976,,,Success,1.331624,1.094847,0.811247,4.052166,1.01325,3.751213,3.70216,298,477.06969,2448214.118,460.569853,795946.4812,307.395512,1.08588,1,0.834746,3.137174,3.751213,11.476922,3.059523,307.395512,448.919217,1930976.656,436.019855,688261.4247,306.529576,1.123588,1,0.829837,3.074709,11.476922,34.987222,3.048485,306.529576,446.094527,1902561.65,437.330141,693953.7609,305.392085,1.182989,1,0.819901,2.952972,34.987222,103,2.943932,305.392085,441.183856,1857925.553,437.734316,695710.7583,307.845094,TRUE,Success,1.094847
13.45,0.843296,8104130.814,,,Success,1.326692,1.093315,0.811881,4.038396,1.01325,3.739882,3.690977,298,476.410861,2430055.758,459.999453,793417.0082,307.350003,1.085056,1,0.834838,3.138411,3.739882,11.447322,3.060877,307.350003,448.894207,1924096.811,436.011618,688225.6566,306.509259,1.122284,1,0.830027,3.077062,11.447322,34.92461,3.050898,306.509259,446.142991,1896448.931,437.384311,694189.2122,305.37627,1.18069,1,0.820327,2.958215,34.92461,103,2.94921,305.37627,441.351186,1853529.313,437.904614,696451.2261,307.841173,TRUE,Success,1.093315
13.4,0.843612,8068644.311,,,Success,1.32176,1.091785,0.812512,4.024657,1.01325,3.728574,3.679817,298,475.753475,2411985.94,459.430099,790893.6303,307.304535,1.084221,1,0.834931,3.139659,3.728574,11.417806,3.062245,307.304535,448.869628,1917220.284,436.003804,688191.7276,306.488935,1.120965,1,0.830218,3.079427,11.417806,34.862267,3.053324,306.488935,446.191808,1890334.222,437.438853,694426.2922,305.360445,1.178373,1,0.820753,2.963454,34.862267,103,2.954484,305.360445,441.517723,1849103.864,438.074184,697188.6192,307.837173,TRUE,Success,1.091785
13.35,0.843928,8033218.626,,,Success,1.316828,1.090258,0.813141,4.010951,1.01325,3.717289,3.668679,298,475.097565,2394004.854,458.861825,788376.4659,307.259111,1.083374,1,0.835025,3.140918,3.717289,11.388378,3.063624,307.259111,448.845488,1910347.106,435.996422,688159.6751,306.468604,1.119631,1,0.83041,3.081804,11.388378,34.800198,3.055764,306.468604,446.240979,1884217.486,437.493769,694665.0093,305.34461,1.17604,1,0.821178,2.968688,34.800198,103,2.959753,305.34461,441.683455,1844649.18,438.243014,697922.8907,307.833092,TRUE,Success,1.090258
13.3,0.844245,7997853.929,,,Success,1.311896,1.088733,0.813767,3.997278,1.01325,3.706028,3.657565,298,474.443163,2376112.701,458.29466,785865.6373,307.213733,1.082516,1,0.835119,3.142188,3.706028,11.359038,3.065017,307.213733,448.821796,1903477.306,435.989482,688129.5372,306.448266,1.118282,1,0.830603,3.084195,11.359038,34.738409,3.058218,306.448266,446.290507,1878098.686,437.549062,694905.3721,305.328765,1.173689,1,0.821604,2.973917,34.738409,103,2.965018,305.328765,441.848372,1840165.236,438.411094,698653.9936,307.828931,TRUE,Success,1.088733
13.25,0.844561,7962550.4,,,Success,1.306964,1.08721,0.81439,3.983639,1.01325,3.694791,3.646475,298,473.790303,2358309.686,457.728639,783361.2705,307.168404,1.081647,1,0.835214,3.143469,3.694791,11.329788,3.066422,307.168404,448.798562,1896610.918,435.982991,688101.3525,306.427922,1.116917,1,0.830796,3.086598,11.329788,34.676903,3.060684,306.427922,446.340391,1871977.784,437.604733,695147.389,305.312909,1.17132,1,0.82203,2.97914,34.676903,103,2.970277,305.312909,442.012461,1835652.013,438.578414,699381.8814,307.82469,TRUE,Success,1.08721
13.2,0.844878,7927308.229,,,Success,1.302032,1.08569,0.81501,3.970034,1.01325,3.683579,3.63541,298,473.13902,2340596.022,457.163796,780863.496,307.123126,1.080765,1,0.835309,3.144761,3.683579,11.300631,3.06784,307.123126,448.775796,1889747.972,435.976959,688075.1607,306.407572,1.115536,1,0.83099,3.089014,11.300631,34.615686,3.063164,306.407572,446.390635,1865854.742,437.660784,695391.0687,305.297044,1.168933,1,0.822456,2.984357,34.615686,103,2.97553,305.297044,442.175713,1831109.493,438.744962,700106.5076,307.820367,TRUE,Success,1.08569
13.15,0.845195,7892127.62,,,Success,1.2971,1.084172,0.815627,3.956463,1.01325,3.672393,3.62437,298,472.489349,2322971.931,456.600164,778372.4485,307.077903,1.079872,1,0.835405,3.146065,3.672393,11.271567,3.069271,307.077903,448.753507,1882888.503,435.971395,688051.0019,306.387215,1.114139,1,0.831184,3.091443,11.271567,34.554763,3.065657,306.387215,446.441239,1859729.523,437.717218,695636.4201,305.281169,1.166528,1,0.822882,2.989566,34.554763,103,2.980776,305.281169,442.338116,1826537.663,438.91073,700827.826,307.815964,TRUE,Success,1.084172
13.1,0.845511,7857008.785,,,Success,1.292168,1.082657,0.816241,3.942928,1.01325,3.661232,3.613355,298,471.841329,2305437.64,456.037781,775888.2671,307.032736,1.078965,1,0.835501,3.14738,3.661232,11.2426,3.070715,307.032736,448.731705,1876032.542,435.966309,688028.9173,306.366853,1.112725,1,0.831379,3.093884,11.2426,34.494139,3.068164,306.366853,446.492205,1853602.09,437.774035,695883.4519,305.265284,1.164105,1,0.823307,2.994769,34.494139,103,2.986015,305.265284,442.499659,1821936.513,439.075706,701545.791,307.811481,TRUE,Success,1.082657
13.05,0.845828,7821951.954,,,Success,1.287236,1.081145,0.816851,3.929429,1.01325,3.650098,3.602367,298,471.194997,2287993.388,455.476683,773411.0959,306.987628,1.078047,1,0.835597,3.148707,3.650098,11.213731,3.072172,306.987628,448.710401,1869180.124,435.96171,688008.9488,306.346485,1.111295,1,0.831575,3.096337,11.213731,34.433819,3.070683,306.346485,446.543535,1847472.405,437.831239,696132.1732,305.249389,1.161663,1,0.823732,2.999963,34.433819,103,2.991245,305.249389,442.660332,1817306.038,439.23988,702260.3571,307.806916,TRUE,Success,1.081145
