Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,total_mdot_water_kg_s,warnings,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,Optimization_Success,Status,opt_n_stage1,opt_n_stage4
13.15,0.84777,7697444.977,,,Success,1.2971,1.092773,0.817041,4.091884,1.01325,3.809608,3.75979,298,477.303881,2387872.703,460.906741,797441.1184,307.254503,1.041276,1,0.83868,3.19621,3.809608,11.904288,3.124807,307.254503,450.742624,1907192.609,437.817162,696070.9668,306.509565,1.055132,1,0.837707,3.179594,11.904288,37.575506,3.156468,306.509565,449.637349,1900943.298,440.870224,709361.3212,305.566832,1.073251,0.95032,0.828366,2.535684,37.575506,94.999999,2.528243,305.566832,418.700058,1501436.367,415.908617,601521.1322,306.478979,TRUE,Success,1.092773,0.95032
13.1,0.84844,7659842.201,,,Success,1.292168,1.092466,0.817833,4.09642,1.01325,3.816758,3.766847,298,477.301499,2378757.538,460.906741,797441.1184,307.223405,1.035321,1,0.839022,3.202874,3.816758,11.955174,3.132285,307.223405,450.940174,1902986.064,438.01652,696937.8532,306.503009,1.046635,1,0.838332,3.189968,11.955174,37.864576,3.167213,306.503009,449.997372,1898613.637,441.235804,710954.847,305.581808,1.061034,0.946776,0.829554,2.516214,37.864576,95,2.508941,305.581808,417.512093,1479484.961,414.77003,596642.0881,306.424516,TRUE,Success,1.092466,0.946776
13.05,0.849071,7623299.019,,,Success,1.287236,1.092081,0.818605,4.099525,1.01325,3.822448,3.772463,298,477.250307,2368989.426,460.906741,797441.1184,307.215823,1.029821,1,0.839296,3.208773,3.822448,11.998407,3.138932,307.215823,451.148277,1898591.07,438.224982,697844.4642,306.496342,1.038872,1,0.838824,3.198935,11.998407,38.113124,3.176515,306.496342,450.313946,1895672.225,441.558643,712362.4513,305.592837,1.05011,0.943687,0.830582,2.499703,38.113124,95,2.49258,305.592837,416.497656,1460046.298,413.79853,592481.4367,306.376541,TRUE,Success,1.092081,0.943687
13,0.849662,7587128.235,,,Success,1.282304,1.091754,0.819377,4.103314,1.01325,3.828822,3.778754,298,477.224566,2359565.941,460.906135,797438.428,307.19553,1.024134,1,0.839534,3.214616,3.828822,12.043732,3.145545,307.19553,451.34101,1894135.83,438.419736,698691.5867,306.489064,1.030985,1,0.839241,3.207545,12.043732,38.364891,3.185465,306.489064,450.624931,1892634.589,441.876577,713749.0162,305.603811,1.039241,0.940612,0.831554,2.483199,38.364891,95,2.476222,305.603811,415.488419,1440791.875,412.83166,588342.7776,306.328458,TRUE,Success,1.091754,0.940612
12.95,0.850215,7551503.464,,,Success,1.277372,1.09145,0.820142,4.107219,1.01325,3.835303,3.78515,298,477.204399,2350219.188,460.906741,797441.1184,307.173181,1.018434,1,0.839725,3.22021,3.835303,12.088512,3.151905,307.173181,451.527016,1889597.256,438.608428,699512.4627,306.481383,1.023202,1,0.839568,3.215549,12.088512,38.608299,3.193801,306.481383,450.922052,1889389.464,442.181205,715077.8842,305.613756,1.028734,0.937662,0.832445,2.467447,38.608299,95,2.460611,305.613756,414.526807,1422297.556,411.910432,584401.4617,306.282001,TRUE,Success,1.09145,0.937662
12.9,0.85073,7516461.467,,,Success,1.27244,1.091152,0.820898,4.110973,1.01325,3.841623,3.791387,298,477.180603,2340826.571,460.906708,797440.9688,307.152152,1.012798,1,0.839866,3.225482,3.841623,12.13158,3.157931,307.152152,451.708624,1884963.284,438.793087,700315.9065,306.473326,1.01562,1,0.839801,3.222875,12.13158,38.838621,3.201448,306.473326,451.2029,1885906.71,442.469997,716337.9715,305.622308,1.018699,0.934877,0.833251,2.452723,38.838621,95.000002,2.446019,305.622308,413.628313,1404764.902,411.049869,580721.4103,306.237858,TRUE,Success,1.091152,0.934877
12.85,0.851208,7481951.139,,,Success,1.267508,1.090868,0.821646,4.114717,1.01325,3.847922,3.797604,298,477.15814,2331454.016,460.906612,797440.5455,307.130377,1.007185,1,0.839957,3.230477,3.847922,12.173566,3.163673,307.130377,451.884856,1880248.467,438.972871,701098.2472,306.464894,1.00818,1,0.839945,3.229611,12.173566,39.058845,3.208497,306.464894,451.471058,1882235.802,442.746462,717544.5392,305.629765,1.009041,0.932222,0.833981,2.438805,39.058845,95.000006,2.432228,305.629765,412.780319,1388012.854,410.237825,577250.3429,306.195569,TRUE,Success,1.090868,0.932222
12.8,0.851647,7447969.394,,,Success,1.262576,1.090585,0.822383,4.118226,1.01325,3.853972,3.803575,298,477.129233,2321999.24,460.900773,797414.6335,307.108321,1.001655,1,0.839998,3.235149,3.853972,12.213534,3.169077,307.108321,452.054603,1875433.112,439.146706,701854.8054,306.455985,1.000956,1,0.839999,3.235722,12.213534,39.265411,3.21491,306.455985,451.724843,1878357.686,443.008812,718689.7588,305.635856,0.999837,0.929727,0.834631,2.42589,39.265411,94.999992,2.419432,305.635856,411.993735,1372179.355,409.484897,574033.2525,306.155632,TRUE,Success,1.090585,0.929727
12.75,0.852051,7414483.491,,,Success,1.257645,1.090321,0.823112,4.121796,1.01325,3.860076,3.809599,298,477.104394,2312600.699,460.898613,797405.0519,307.086368,0.996129,1,0.839987,3.239571,3.860076,12.252752,3.174226,307.086368,452.221738,1870563.626,439.318191,702601.2343,306.446838,0.99384,1,0.839968,3.241331,12.252752,39.463823,3.220813,306.446838,451.969763,1874343.391,443.2625,719797.3945,305.641093,0.990933,0.927337,0.835215,2.413611,39.463823,94.999994,2.407268,305.641093,411.247776,1356975.775,408.771025,570984.1698,306.11723,TRUE,Success,1.090321,0.927337
12.7,0.85242,7381483.966,,,Success,1.252713,1.090067,0.82383,4.125263,1.01325,3.866065,3.81551,298,477.077919,2303183.469,460.89502,797389.1068,307.06431,0.99065,1,0.839925,3.243711,3.866065,12.290542,3.179083,307.06431,452.38479,1865624.061,439.485946,703331.5213,306.437352,0.986884,1,0.839852,3.246417,12.290542,39.651564,3.226185,306.437352,452.204741,1870181.357,443.506368,720862.3692,305.645288,0.98238,0.925071,0.835731,2.402104,39.651564,94.999996,2.39587,305.645288,410.549939,1342495.079,408.103496,568134.0062,306.080708,TRUE,Success,1.090067,0.925071
