Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,total_mdot_water_kg_s,warnings,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,Optimization_Success,Status,opt_n_stage1
13.15,0.84141,7770517.96,,,Success,1.2971,1.080698,0.815024,3.901461,1.01325,3.616661,3.569367,298,470.497929,2296143.929,454.811969,770478.1793,307.000555,1.096374,1,0.833509,3.120946,3.616661,11.001112,3.041787,307.000555,447.802204,1871175.989,435.090676,684228.0741,306.330468,1.141423,1,0.827105,3.041156,11.001112,33.158369,3.014092,306.330468,444.64456,1836438.35,435.963085,688014.9219,305.13957,1.215372,1,0.813622,2.874581,33.158369,95,2.865038,305.13957,437.839666,1766759.692,434.330904,680932.1037,307.14661,TRUE,Success,1.080698
13.1,0.841723,7735919.862,,,Success,1.292168,1.079137,0.815634,3.8875,1.01325,3.60507,3.557927,298,469.829841,2278445.543,454.230919,767915.9227,306.954508,1.095635,1,0.8336,3.122118,3.60507,10.970463,3.043065,306.954508,447.774096,1864292.107,435.079658,684180.2634,306.309851,1.140222,1,0.827296,3.043497,10.970463,33.092299,3.016491,306.309851,444.693196,1830371.933,436.017227,688250.0114,305.123494,1.213136,1,0.814072,2.880266,33.092299,95,2.870759,305.123494,438.032776,1762810.28,434.525903,681777.8585,307.143336,TRUE,Success,1.079137
13.05,0.842037,7701378.942,,,Success,1.287236,1.077578,0.81624,3.873567,1.01325,3.593496,3.546505,298,469.163018,2260833.619,453.650766,765359.0107,306.908504,1.094886,1,0.833691,3.123301,3.593496,10.939882,3.044356,306.908504,447.746403,1857411.416,435.069048,684134.2277,306.289224,1.139006,1,0.827489,3.045854,10.939882,33.026459,3.018904,306.289224,444.742223,1824303.862,436.071773,688486.8694,305.107407,1.210883,1,0.814522,2.885953,33.026459,95,2.876482,305.107407,438.22515,1758830.045,434.720232,682620.8238,307.139976,TRUE,Success,1.077578
13,0.842351,7666895.262,,,Success,1.282304,1.07602,0.816843,3.859662,1.01325,3.581941,3.535101,298,468.497487,2243308.303,453.071538,762807.5426,306.862547,1.094128,1,0.833783,3.124495,3.581941,10.909373,3.045659,306.862547,447.719133,1850533.943,435.058856,684090.0018,306.268589,1.137777,1,0.827683,3.048224,10.909373,32.960852,3.021333,306.268589,444.791641,1818234.099,436.126727,688725.5058,305.091306,1.208613,1,0.814974,2.891643,32.960852,95,2.882207,305.091306,438.416776,1754818.917,434.913877,683460.9421,307.136528,TRUE,Success,1.07602
12.95,0.842665,7632468.894,,,Success,1.277372,1.074464,0.817443,3.845785,1.01325,3.570406,3.523716,298,467.833276,2225869.743,452.49326,760261.621,306.816639,1.093359,1,0.833876,3.125699,3.570406,10.878935,3.046975,306.816639,447.692295,1843659.713,435.049089,684047.6211,306.247944,1.136534,1,0.827877,3.05061,10.878935,32.895483,3.023778,306.247944,444.841454,1812162.606,436.18209,688965.9305,305.075193,1.206325,1,0.815427,2.897335,32.895483,95,2.887935,305.075193,438.607638,1750776.831,435.106826,684298.1556,307.132993,TRUE,Success,1.074464
12.9,0.84298,7598099.915,,,Success,1.27244,1.07291,0.818039,3.831937,1.01325,3.558889,3.51235,298,467.170414,2208518.096,451.915961,757721.3518,306.770782,1.09258,1,0.833969,3.126915,3.558889,10.848571,3.048303,306.770782,447.665897,1836788.752,435.039756,684007.1219,306.22729,1.135276,1,0.828073,3.053011,10.848571,32.830355,3.026238,306.22729,444.891663,1806089.345,436.237865,689208.1534,305.059068,1.204019,1,0.815881,2.903028,32.830355,95,2.893664,305.059068,438.797723,1746703.723,435.299065,685132.4062,307.129371,TRUE,Success,1.07291
12.85,0.843295,7563788.412,,,Success,1.267508,1.071358,0.818631,3.818118,1.01325,3.547393,3.501004,298,466.50893,2191253.52,451.33967,755186.8443,306.724979,1.091791,1,0.834063,3.128142,3.547393,10.818282,3.049643,306.724979,447.639949,1829921.086,435.030864,683968.5407,306.206628,1.134004,1,0.82827,3.055426,10.818282,32.765473,3.028713,306.206628,444.942269,1800014.276,436.294054,689452.1843,305.04293,1.201696,1,0.816336,2.908722,32.765473,95,2.899394,305.04293,438.987018,1742599.53,435.490581,685963.6354,307.12566,TRUE,Success,1.071358
12.8,0.84361,7529534.477,,,Success,1.262576,1.069807,0.819219,3.804329,1.01325,3.535916,3.489678,298,465.848854,2174076.183,450.764416,752658.2113,306.679231,1.090992,1,0.834157,3.129381,3.535916,10.788069,3.050997,306.679231,447.614459,1823056.744,435.022424,683931.915,306.185957,1.132717,1,0.828468,3.057857,10.788069,32.700841,3.031204,306.185957,444.993275,1793937.359,436.35066,689698.0332,305.02678,1.199354,1,0.816792,2.914416,32.700841,95,2.905124,305.02678,439.175508,1738464.191,435.681361,686791.7845,307.121861,TRUE,Success,1.069807
12.75,0.843925,7495338.212,,,Success,1.257645,1.068258,0.819804,3.790569,1.01325,3.524461,3.478372,298,465.190219,2156986.255,450.190231,750135.5693,306.633541,1.090181,1,0.834252,3.130631,3.524461,10.757934,3.052363,306.633541,447.589436,1816195.752,435.014442,683897.2829,306.165278,1.131415,1,0.828668,3.060302,10.757934,32.636463,3.033711,306.165278,445.044683,1787858.553,436.407683,689945.7098,305.010617,1.196994,1,0.817249,2.92011,32.636463,95,2.910855,305.010617,439.363178,1734297.651,435.871391,687616.7944,307.117974,TRUE,Success,1.068258
12.7,0.84424,7461199.726,,,Success,1.252713,1.06671,0.820384,3.776841,1.01325,3.513026,3.467087,298,464.533055,2139983.917,449.617145,747619.0387,306.587913,1.089359,1,0.834348,3.131893,3.513026,10.727879,3.053743,306.587913,447.564891,1809338.138,435.006929,683864.683,306.14459,1.130097,1,0.828868,3.062763,10.727879,32.572344,3.036233,306.14459,445.096494,1781777.819,436.465128,690195.2243,304.994442,1.194615,1,0.817707,2.925804,32.572344,95,2.916585,304.994442,439.550016,1730099.852,436.060659,688438.6061,307.113998,TRUE,Success,1.06671
