Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,total_mdot_water_kg_s,warnings,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,Optimization_Success,Status,opt_n_stage1,opt_n_stage2
13.15,0.838728,7576804.641,,,Success,1.2971,1.092751,0.817037,4.091538,1.01325,3.809257,3.759444,298,477.291734,2387708.886,460.906624,797440.5977,307.260309,1.041382,0.974022,0.836316,2.88129,3.809257,10.703526,2.809873,307.260309,436.392891,1714620.988,424.714035,639362.2487,305.811612,1.172164,1,0.821879,2.977284,10.703526,31.561948,2.948743,305.811612,441.674131,1803478.706,433.107079,675626.8006,304.948788,1.276447,1,0.8006,2.703641,31.561948,84.99999,2.693116,304.948788,430.611893,1670996.061,427.049592,649433.4733,306.259833,TRUE,Success,1.092751,0.974022
13.1,0.839182,7541711.29,,,Success,1.292168,1.092407,0.817824,4.095504,1.01325,3.81583,3.765931,298,477.269378,2378325.992,460.906457,797439.8579,307.238761,1.035599,0.972137,0.836651,2.867156,3.81583,10.671081,2.79653,307.238761,435.622965,1698101.088,424.027333,636403.9395,305.758743,1.171156,1,0.822059,2.979499,10.671081,31.490436,2.951007,305.758743,441.675192,1797322.626,433.116494,675667.5938,304.931223,1.274444,1,0.801047,2.709725,31.490436,85,2.699232,304.931223,430.844728,1667961.584,427.282246,650437.5399,306.258374,TRUE,Success,1.092407,0.972137
13.05,0.839632,7506750.26,,,Success,1.287236,1.092074,0.818604,4.09943,1.01325,3.822352,3.772368,298,477.246983,2368944.941,460.90629,797439.1148,307.217168,1.029849,0.970262,0.836966,2.853127,3.822352,10.638686,2.783283,307.217168,434.859192,1681741.582,423.345997,633469.997,305.706184,1.170138,1,0.822241,2.981729,10.638686,31.419084,2.953286,305.706184,441.677067,1791168.03,433.126697,675711.8051,304.913666,1.272427,1,0.801495,2.715821,31.419084,85,2.705362,304.913666,431.077121,1664895.707,427.514512,651440.0804,306.256826,TRUE,Success,1.092074,0.970262
13,0.840078,7471922.373,,,Success,1.282304,1.091753,0.819376,4.103298,1.01325,3.828805,3.778737,298,477.223986,2359558.207,460.905615,797436.1213,307.195508,1.024138,0.968399,0.837261,2.839216,3.828805,10.606343,2.770144,307.195508,434.102247,1665550.691,422.670646,630563.0465,305.653969,1.169109,1,0.822425,2.983972,10.606343,31.347895,2.95558,305.653969,441.679806,1785015.063,433.137734,675759.6325,304.896118,1.270394,1,0.801946,2.721931,31.347895,84.999999,2.711506,304.896118,431.309064,1661798.412,427.746384,652441.0748,306.255187,TRUE,Success,1.091753,0.968399
12.95,0.84052,7437225.209,,,Success,1.277372,1.091445,0.820141,4.107137,1.01325,3.835221,3.785069,298,477.201545,2350181.293,460.905473,797435.4908,307.173825,1.018457,0.966544,0.837536,2.825399,3.835221,10.574052,2.757091,307.173825,433.35093,1649510.885,422.000193,627678.3657,305.602046,1.16807,1,0.822609,2.986231,10.574052,31.276873,2.957889,305.602046,441.683341,1778863.432,433.149544,675810.8075,304.878578,1.268345,1,0.8024,2.728055,31.276873,85,2.717663,304.878578,431.540544,1658669.599,427.977849,653440.4606,306.253458,TRUE,Success,1.091445,0.966544
12.9,0.840959,7402657.128,,,Success,1.27244,1.091152,0.820898,4.110973,1.01325,3.841622,3.791387,298,477.180589,2340826.385,460.906695,797440.9129,307.152151,1.012798,0.964696,0.837792,2.811655,3.841622,10.541814,2.744105,307.152151,432.604319,1633608.727,421.333805,624812.3395,305.550374,1.16702,1,0.822795,2.988505,10.541814,31.206019,2.960214,305.550374,441.687621,1772712.891,433.162079,675865.1253,304.861042,1.26628,1,0.802855,2.734192,31.206019,84.999999,2.723833,304.861042,431.771542,1655509.126,428.208888,654438.1635,306.251638,TRUE,Success,1.091152,0.964696
12.85,0.841394,7368222.897,,,Success,1.267508,1.090868,0.821646,4.114715,1.01325,3.847919,3.797601,298,477.158044,2331452.749,460.906526,797440.1631,307.130374,1.007186,0.962862,0.838026,2.798055,3.847919,10.50963,2.73125,307.130374,431.865784,1617889.038,420.674556,621978.1391,305.499108,1.165959,1,0.822982,2.990793,10.50963,31.135337,2.962553,305.499108,441.692858,1766564.168,433.175536,675923.4406,304.843519,1.264199,1,0.803313,2.740341,31.135337,85.000002,2.730017,304.843519,432.002055,1652316.942,428.4395,655434.1706,306.249727,TRUE,Success,1.090868,0.962862
12.8,0.841824,7333921.001,,,Success,1.262576,1.090594,0.822384,4.118372,1.01325,3.854121,3.803722,298,477.134359,2322066.527,460.905368,797435.0256,307.108509,1.001617,0.961042,0.83824,2.784587,3.854121,10.477501,2.718519,307.108509,431.134881,1602344.511,420.022046,619174.0107,305.448229,1.164886,1,0.82317,2.993096,10.477501,31.064829,2.964908,305.448229,441.699029,1760417.105,433.189895,675985.6612,304.826005,1.262102,1,0.803773,2.746503,31.064829,85,2.736213,304.826005,432.232062,1649092.858,428.669663,656428.3925,306.247724,TRUE,Success,1.090594,0.961042
12.75,0.84225,7299747.433,,,Success,1.257645,1.090336,0.823114,4.122022,1.01325,3.860305,3.809825,298,477.112262,2312703.588,460.905669,797436.3598,307.086656,0.996071,0.959228,0.838432,2.771194,3.860305,10.445428,2.705856,307.086656,430.40879,1586935.995,419.373714,616388.9006,305.397612,1.163802,1,0.82336,2.995414,10.445428,30.994498,2.967279,305.397612,441.705966,1754271.055,433.205001,676051.1209,304.808497,1.259988,1,0.804235,2.752678,30.994498,84.999999,2.742422,304.808497,432.461545,1645836.794,428.899361,657420.7583,306.245629,TRUE,Success,1.090336,0.959228
12.7,0.842671,7265707.256,,,Success,1.252713,1.090086,0.823833,4.125542,1.01325,3.866348,3.815789,298,477.087642,2303310.111,460.90374,797427.7987,307.064664,0.990578,0.957432,0.838603,2.757965,3.866348,10.413412,2.693346,307.064664,429.691907,1571721.521,418.73357,613639.9989,305.347457,1.162707,1,0.823551,2.997748,10.413412,30.924348,2.969665,305.347457,441.713945,1748126.953,433.221109,676120.9254,304.791002,1.257858,1,0.8047,2.758864,30.924348,85,2.748643,304.791002,432.690499,1642548.67,429.128591,658411.2493,306.243442,TRUE,Success,1.090086,0.957432
